,gs21,gs22,eg11,eg12,eg13,eg14,yh71,oh72,bh73,gr11,gr12,sp13,ww14,gr15,se16,fd17,he61,gr62,he63,gr64,gg65,yc51,oc52,wh51,ug51,dg52,ig53,ug54,dg55,uh51,ug51.1,bg52,dg53,gz51,si52,wt53,wg54,wb61,gr62.1,wb31,ww32,so33,wr34,gz81,sp82,se83,re84,ww85,wb86,wo87,sp41,ww42,wb41,wb42,sp41.1,so42,so43,oc41,gh41,go41,wh41,dh42,ha91,fr9A,gz92,re93,we94,re95,ro96,he97,tu98,fr99,si41,gz42,gz43,gz44,gz41,gz42.1,gz41.1,gz42.2,gz41.2,gz42.3,se41,se42,gr61,sp62,so63
17,96,148,0,1,67,0,0,0,0,2,8,6,1,1,38,113,0,0,0,12,0,0,0,0,9,6,1,1,1,0,0,0,1,0,0,0,0,1,4,9,93,41,0,7,5,0,1,0,0,0,126,25,150,226,0,4,6,0,0,14,0,16,0,0,0,0,0,0,0,0,0,0,4,9,11,7,2,3,103,29,5,5,22,19,1,9,14
18,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,2
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,25,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,1,0,0,15,9,1,0,0,6
20,0,1,0,0,0,0,0,0,0,0,0,82,13,3,12,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,74,1,1,31,18,27,2,0,4,10,0,13,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,2,3,0,2,28,0,2,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,35,106,3,7,0,0,0,0,0,0,0,0,0,0,0,408,0,309,399,0,0,0,1,11,136,0,31,0,0,0,12,3,0,0,0,507,1158,0,0,551,1,480,1955,1100,227,41,72,180,0,0,0,0,0,0,0,0,12,8,0,101,38,0,11,2,0,167,344,20,22,1,0,0,4,21,3,5,39,49,0,0,0,0,111,180,345
24,8,32,31,28,0,6,50,1,96,5,37,445,268,12,111,61,3,268,0,22,112,0,0,7,0,0,87,0,29,0,0,3,0,0,20,0,0,150,49,3,0,141,0,46,318,88,169,338,48,134,0,0,0,0,0,0,0,0,49,1,0,83,0,0,0,0,0,1,19,188,0,0,0,0,0,1,9,29,7,44,0,1,0,0,131,88,188
25,0,0,0,0,0,0,6,23,19,0,0,0,0,0,0,0,53,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,0,0,13,0,0,32,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,45,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,4,5,8,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,14,0,16,5,0,0,0,8,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,0,3,0,0,0,0,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,5,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,11,0,1,82,13,3,56,0,0,0,0,0,0,0,1,7,0,0,3,0,0,10,2,5,12,2,8,34,31,149,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,16,0,36,35,9,1,32,0,0,1,40,84,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,8,0,2,18,11,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,43,0,0,2,15,10,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,221,154,7,3,2,0,0,0,2,69,38,30,25,60,14,19,0,8,0,47,2,7,6,0,0,2,84,4,21,1,3,2,10,55,114,3,1,12,0,3,0,0,3,6,18,33,18,21,85,43,5,17,50,59,1,35,85,0,1,0,0,0,8,29,0,146,42,30,0,0,7,18,15,4,0,2,9,26,4,44,114,62,33,42,92,22,136
34,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,11,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,43,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,12,0,0,8,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,39,1,7,1,0,4,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
40,8,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,25,2,1,0,1,0,0,0,1,7,3,0,2,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,4,8,22,7,0,0,2
41,0,0,0,0,0,0,21,10,3,0,0,0,0,0,0,0,15,0,5,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,33,89,3,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
42,64,28,9,6,7,7,0,0,0,99,22,42,112,72,76,16,2,2,0,58,1,209,64,4,7,0,6,7,7,38,27,2,2,291,103,5,0,134,37,7,23,0,6,18,39,69,6,111,60,211,11,110,28,21,6,17,55,9,23,12,2,17,5,4,0,11,10,15,5,1,0,1,48,86,27,15,233,220,41,49,97,67,68,107,77,31,118
43,150,6,1,4,19,4,0,0,0,21,44,40,10,9,94,47,0,9,0,187,26,32,2893,4,0,2,29,45,209,0,0,0,0,541,632,1,1,33,83,35,100,3,24,83,341,430,261,30,111,88,233,9,308,389,774,461,606,2,3,105,0,12,315,5,3,26,0,156,117,0,38,3,184,154,30,61,150,359,194,232,185,113,131,31,440,12,40
44,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,182,255,98,16,11,14,40,0,0,163,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,0,0,1,3,1,0,994,2,0,1,10,0,3,74,55,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
45,0,1,0,0,0,18,45,1,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,4,10,0,0,0,17,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94,1,0,0,1,0,2,8,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,1,4,0,1,0,3,8,0,3,0,0,0,0,3,2,3,0,1,0,18,0,2,5,4,4,11,3,0,1,14,0,1,3,0,0,0,0,11,12,13,71,16,18,0,1,0,0,2,0,2,3,15,2,2,0,9,11,21,11,3,1,32,1,4,0,15,0,6,0,0,7,7,0,4,0,0,1,1,0,1,9,2,28,41,22,1,2
47,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,44,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,0,0,0,0,0,2,1,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,32,0,0,0,23,3,0,12,1,19,28,101,0,0
50,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,40,5,7,5,8,6,24,12,14,31,41,5,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,65,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,589,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
53,0,0,5,1,11,0,0,0,0,0,0,2,0,0,7,1,0,0,0,0,0,0,0,1,0,163,8,2,31,0,0,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,4,1,0,0,0,0,21,0,0,2,0,1,9,2,10,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,4,4,9,3,0,24,0,14,8,30,0,0,2,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,40,0,0,0,0,3,0,0,0,0,0,0,1,0,0,15,2,0,0,0,0,0,0,0,0,0
56,1,1,56,8,0,121,0,0,0,0,0,1,0,0,5,2,0,9,0,66,16,4,13,12,5,169,262,3,136,0,0,0,385,2,0,0,1,5,2,1,2,12,28,0,4,0,0,0,0,2,410,2783,39,63,5,11,18,35,40,69,2,15,106,1,1346,26,3,362,1778,1453,639,32,285,186,177,104,2,0,22,0,0,1,102,219,1,4,1
57,367,398,39,61,5,35,0,0,0,38,269,526,497,42,478,549,0,0,0,65,0,3,76,0,0,0,0,0,0,0,0,0,0,70,82,0,0,420,135,137,124,9,44,0,0,0,0,0,0,0,35,46,4,5,900,1994,3892,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,4,1,1,3,31,43,11,57,114,91,84,126,52,113,46
58,5,12,5,4,27,34,1,0,0,2,0,3,9,8,22,2,1,1,1,0,0,23,57,4,0,51,43,24,79,0,3,0,53,15,19,2,6,20,16,8,59,0,4,2,7,27,1,14,17,61,4,1,3,4,477,1037,1347,39,4,0,32,11,5,0,0,0,0,1,2,4,9,0,1,0,0,0,13,5,0,0,28,4,1,6,11,31,8
59,0,0,1,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,31,4,1,0,0,22,81,9,0,0,0,0,39,32,4,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,2,2,0,0,0,1,0,0,9,0,12,15,5,2,0,1,3,0,0,0,1,1,23,3,0,0,10,0,1,0,0,0,0
60,0,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,37,0,14,89,15,15,146,4,146,102,17,2,0,0,25,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,8,0,0,10,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
61,24,49,2,0,2,1,0,0,0,0,0,1,0,0,9,1,0,0,1,0,1,2,3,0,0,0,0,1,0,0,0,0,0,18,47,2,0,0,1,1,0,0,0,5,2,1,3,25,8,3,0,0,1,0,0,7,2,1,22,1,0,0,32,8,1,124,46,30,0,0,4,4,3,5,0,16,73,38,40,35,52,36,2,2,6,0,0
62,0,0,1,1,16,1,0,0,0,3,3,2,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,6,7,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,24,27,1,0,0
64,1,1,1,0,0,1,0,0,0,1,0,2,0,0,4,11,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,1,1,1,59,105,1,2,2,3,5,0,3,10,0,3,0,0,1,0,0,5,0,0,0,0,10,2,2,3,0,0,2,1,2,9,146,220,1,64,1
65,0,1,0,0,0,0,0,0,0,25,23,2,2,18,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,20,0,0,0,0,0,0,0,0,2,0,5,1,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,1,0
66,0,0,0,0,0,0,22,24,8,0,0,0,0,0,0,0,256,0,27,0,0,1,56,1,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1,8,0,0,12,0,7,18,26,114,0,0,0,1,0,0,0,3,31,0,0,0,0,2,0,2,368,0,1,10,0,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
67,1,19,0,0,0,0,0,0,0,2,24,122,286,12,76,215,1,2,2,24,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,225,47,308,592,122,176,67,411,198,107,674,114,300,126,135,167,207,103,307,469,0,3,0,0,4,2,153,0,5,0,8,1,0,6,42,15,32,7,0,3,2,4,16,34,343,130,354,82,137,442
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
